distance_nm,strain
0.0,0.0
9.1552734375,0.0
18.310546875,0.0
27.4658203125,0.0
36.62109375,0.0
45.77636718749999,0.0
54.931640625,0.0
64.0869140625,0.0
73.2421875,0.0
82.39746093749999,0.0
91.55273437499999,0.0
100.70800781249999,0.0
109.86328125,0.0
119.0185546875,0.0
128.173828125,0.0
137.3291015625,0.0
146.484375,0.0
155.63964843749997,0.0
164.79492187499997,0.0
173.95019531249997,0.0
183.10546874999997,0.0
192.26074218749997,0.0
201.41601562499997,0.0
210.57128906249997,0.0
219.7265625,0.0
228.8818359375,0.0
238.037109375,0.0
247.1923828125,0.0
256.34765625,0.0
265.5029296875,0.0
274.658203125,0.0
283.8134765625,0.0
292.96875,0.0
302.1240234375,0.0
311.27929687499994,0.0
320.43457031249994,0.0
329.58984374999994,0.0
338.74511718749994,0.0
347.90039062499994,0.0
357.05566406249994,0.0
366.21093749999994,0.0
375.36621093749994,0.0
384.52148437499994,0.0
393.67675781249994,0.0
402.83203124999994,0.0
411.98730468749994,0.0
421.14257812499994,0.0
430.29785156249994,0.0
439.453125,0.0
448.6083984375,0.0
457.763671875,0.0
466.9189453125,0.0
476.07421875,0.0
485.22949218749994,0.0
494.384765625,0.0
503.54003906249994,0.0
512.6953125,0.0
521.8505859374999,0.0
531.005859375,0.0
540.1611328124999,0.0
549.31640625,0.0
558.4716796874999,0.0
567.626953125,0.0
576.7822265624999,0.0
585.9375,0.0
595.0927734375,0.0
604.248046875,0.0
613.4033203125,0.0
622.5585937499999,0.0
631.7138671875,0.0
640.8691406249999,0.0
650.0244140625,0.0
659.1796874999999,0.0
668.3349609375,0.0
677.4902343749999,0.0
686.6455078125,0.0
695.8007812499999,0.0
704.9560546875,0.0
714.1113281249999,0.0
723.2666015625,0.0
732.4218749999999,0.0
741.5771484375,0.0
750.7324218749999,0.0
759.8876953125,0.0
769.0429687499999,0.0
778.1982421875,0.0
787.3535156249999,0.0
796.5087890625,0.0
805.6640624999999,0.0
814.8193359374999,0.0
823.9746093749999,0.0
833.1298828124999,0.0
842.2851562499999,0.0
851.4404296874999,0.0
860.5957031249999,0.0
869.7509765624999,0.0
878.90625,0.0
888.0615234374999,0.0
897.216796875,0.0
906.3720703124999,0.0
915.52734375,0.0
924.6826171874999,0.0
933.837890625,0.0
942.9931640624999,0.0
952.1484375,0.0
961.3037109375,0.0
970.4589843749999,0.0
979.6142578124999,0.0
988.76953125,0.0
997.9248046875,0.0
1007.0800781249999,0.0
1016.2353515624999,0.0
1025.390625,0.0
1034.5458984375,0.0
1043.7011718749998,0.0
1052.8564453124998,0.0
1062.01171875,0.0
1071.1669921875,0.0
1080.3222656249998,0.0
1089.4775390624998,0.0
