distance_nm,strain
0.0,1.0640201449430928e-10
9.1552734375,7.853281915275722e-11
18.310546875,1.1217181353574108e-10
27.4658203125,8.099873935717242e-11
36.62109375,1.1849620249112786e-10
45.77636718749999,8.343131759152021e-11
54.931640625,1.2546531382163303e-10
64.0869140625,8.578071905520036e-11
73.2421875,1.3319171753466355e-10
82.39746093749999,8.797706609965456e-11
91.55273437499999,1.4181808551884478e-10
100.70800781249999,8.992213945198318e-11
109.86328125,1.5152818806279248e-10
119.0185546875,9.147712882553125e-11
128.173828125,1.6256298717328716e-10
137.3291015625,9.244423374736673e-11
146.484375,1.752447415426021e-10
155.63964843749997,9.253855567293001e-11
164.79492187499997,1.9001425097114127e-10
173.95019531249997,9.134496217219032e-11
183.10546874999997,2.0749226103028908e-10
192.26074218749997,8.82568874571489e-11
201.41601562499997,2.286027232408481e-10
210.57128906249997,8.244310190462543e-11
219.7265625,2.5497326376960623e-10
228.8818359375,7.333813019790394e-11
238.037109375,2.911649133487571e-10
247.1923828125,6.577215754562727e-11
256.34765625,3.6045286238543514e-10
265.5029296875,1.1157145146389669e-10
274.658203125,6.217899862663947e-10
283.8134765625,6.244805836214883e-10
292.96875,2.227338037436617e-09
302.1240234375,4.676190113567592e-09
311.27929687499994,1.3457561682854589e-08
320.43457031249994,3.422586934371165e-08
329.58984374999994,9.241241478749814e-08
338.74511718749994,2.415012923342772e-07
347.90039062499994,6.356135704812521e-07
357.05566406249994,1.650800559223669e-06
366.21093749999994,4.268797595886207e-06
375.36621093749994,1.0926113550598657e-05
384.52148437499994,2.7677171156546526e-05
393.67675781249994,6.886054497918735e-05
402.83203124999994,0.00016592398424620752
411.98730468749994,0.0003749833778664871
421.14257812499994,0.0007523108991690442
430.29785156249994,0.0012587842679621965
439.453125,0.0017234587657257714
448.6083984375,0.002019879039744884
457.763671875,0.002163521838733637
466.9189453125,0.0022187389143059157
476.07421875,0.0022321248613750132
485.22949218749994,0.002227268986091288
494.384765625,0.0022147472084735145
503.54003906249994,0.002199003330115892
512.6953125,0.0021819298433495174
521.8505859374999,0.002164285838734058
531.005859375,0.002146411670747362
540.1611328124999,0.0021284315441348713
549.31640625,0.002110412762983964
558.4716796874999,0.0020923721825070016
567.626953125,0.0020743262190065464
576.7822265624999,0.0020562748153888743
585.9375,0.0020382233799278193
595.0927734375,0.0020201702136106773
604.248046875,0.002002117523741058
613.4033203125,0.0019840642152273965
622.5585937499999,0.0019660111764573476
631.7138671875,0.0019479579699119196
640.8691406249999,0.001929904823172379
650.0244140625,0.0019118517187384216
659.1796874999999,0.001893798553875889
668.3349609375,0.0018757455196878098
677.4902343749999,0.0018576923819836923
686.6455078125,0.0018396393912647434
695.8007812499999,0.0018215863070911613
704.9560546875,0.0018035333421445334
714.1113281249999,0.001785480327269402
723.2666015625,0.0017674273777839296
732.4218749999999,0.0017493744412498892
741.5771484375,0.0017313215021625777
750.7324218749999,0.0017132686486078133
759.8876953125,0.0016952157184024614
769.0429687499999,0.0016771629495971544
778.1982421875,0.0016591100290758005
787.3535156249999,0.001641057344967966
796.5087890625,0.0016230044363941337
805.6640624999999,0.0016049518358220887
814.8193359374999,0.0015868989423348007
823.9746093749999,0.0015688464235080642
833.1298828124999,0.0015507935487276273
842.2851562499999,0.0015327411095467929
851.4404296874999,0.0015146882573144151
860.5957031249999,0.0014966358955796797
869.7509765624999,0.0014785830697894816
878.90625,0.0014605307833328342
888.0615234374999,0.0014424779878269842
897.216796875,0.0014244257745925752
906.3720703124999,0.0014063730130990677
915.52734375,0.0013883208711888422
924.6826171874999,0.0013702681472876831
933.837890625,0.0013522160749840889
942.9931640624999,0.0013341633920920947
952.1484375,0.0013161113878659633
961.3037109375,0.001298058749233457
970.4589843749999,0.0012800068117425846
979.6142578124999,0.0012619542204574516
988.76953125,0.0012439023485395911
997.9248046875,0.001225849807535645
1007.0800781249999,0.0012077980001983825
1016.2353515624999,0.0011897455122660253
1025.390625,0.0011716937686751696
1034.5458984375,0.0011536413364730417
1043.7011718749998,0.0011355896559405573
1052.8564453124998,0.0011175372820073405
1062.01171875,0.0010994856639794748
1071.1669921875,0.0010814333507453589
1080.3222656249998,0.0010633817947913395
1089.4775390624998,0.0010453295445888497
1098.6328125,0.001027278050390361
1107.7880859375,0.0010092258654644084
1116.9433593749998,0.0009911744328059387
1126.0986328124998,0.0009731223153230373
1135.25390625,0.0009550709440831105
1144.4091796875,0.000937018896139763
1153.5644531249998,0.0009189675862830404
1162.7197265624998,0.0009009156099133261
1171.875,0.000882864361483518
1181.0302734375,0.0008648124586659458
1190.185546875,0.0008467612717794749
1199.3408203124998,0.000828709444443161
1208.49609375,0.0008106583192835047
1217.6513671875,0.0007926065693137456
1226.806640625,0.0007745555061263895
1235.9619140624998,0.0007565038353696963
1245.1171874999998,0.000738452834457632
1254.2724609375,0.000720401244726291
1263.427734375,0.000702350306445993
1272.5830078124998,0.0006842987995222112
1281.7382812499998,0.0006662479242800346
1290.8935546875,0.0006481965019197241
1300.048828125,0.0006301456901686742
1309.2041015624998,0.0006120943541049258
1318.3593749999998,0.000594043606341746
1327.5146484375,0.0005759923582880328
1336.669921875,0.0005579416750505755
1345.8251953124998,0.0005398905167037297
1354.9804687499998,0.0005218398985685667
1364.1357421875,0.0005037888316115614
1373.291015625,0.0004857382791918028
1382.4462890624998,0.0004676873052963705
1391.6015624999998,0.00044963681923966217
1400.7568359375,0.00043158594006877663
1409.912109375,0.00041353552105545104
1419.0673828124998,0.00039548473826569953
1428.2226562499998,0.0003774343870070537
1437.3779296874998,0.00035938370225091634
1446.533203125,0.00034133341948760034
1455.6884765624998,0.0003232828344156602
1464.8437499999998,0.0003052326209161536
1473.9990234374998,0.0002871821371792514
1483.154296875,0.0002691319937384146
1492.3095703125,0.0002510816129897663
1501.4648437499998,0.00023303154042745013
1510.6201171874998,0.00021498126432473847
1519.775390625,0.0001969312634844384
1528.9306640625,0.0001788810936918932
1538.0859374999998,0.0001608311654394371
1547.2412109374998,0.0001427811036299156
1556.396484375,0.00012473124885217248
1565.5517578125,0.00010668129670925003
1574.7070312499998,8.863151631285002e-05
1583.8623046874998,7.058167553293205e-05
1593.017578125,5.2531970442986924e-05
1602.1728515625,3.448224273745199e-05
1611.3281249999998,1.6432613896266224e-05
1620.4833984374998,-1.61699900634953e-06
1629.6386718749998,-1.9666550640585606e-05
1638.7939453125,-3.77160469923541e-05
1647.9492187499998,-5.5765520446900046e-05
1657.1044921874998,-7.38148984782063e-05
1666.2597656249998,-9.186429276714482e-05
1675.4150390625,-0.0001099135506843214
1684.5703124999998,-0.00012796286480997991
1693.7255859374998,-0.00014601200079286173
1702.8808593749998,-0.00016406123374729145
1712.0361328125,-0.0001821102459466769
1721.1914062499998,-0.0002001593967132032
1730.3466796874998,-0.00021820828324821339
1739.5019531249998,-0.00023625735080306647
1748.6572265625,-0.00025430610975838726
1757.8125,-0.0002723550930724287
1766.9677734374998,-0.00029040372249542227
1776.1230468749998,-0.0003084526205359801
1785.2783203125,-0.00032650111843365035
1794.43359375,-0.00034454993016648164
1803.5888671874998,-0.00036259829450227657
1812.7441406249998,-0.0003806470188936719
1821.8994140624998,-0.0003986952475841025
1831.0546875,-0.00041674388360315626
1840.2099609374998,-0.0004347919745142102
1849.3652343749998,-0.0004528405211352784
1858.5205078124998,-0.0004708884720786053
1867.67578125,-0.000488936928283977
1876.8310546874998,-0.0005069847370128133
1885.9863281249998,-0.0005250331017956273
1895.1416015624998,-0.000543080766000432
1904.296875,-0.0005611290383678724
1913.4521484374998,-0.0005791765556716321
1922.607421875,-0.0005972247346484441
1931.7626953124998,-0.0006152721026016075
1940.9179687499998,-0.000633320187233981
1950.0732421875,-0.0006513674033089703
1959.2285156249998,-0.0006694153926688418
1968.3837890624995,-0.0006874624542540829
1977.5390625,-0.0007055103474439254
1986.6943359374998,-0.000723557251837328
1995.849609375,-0.0007416050479954964
2005.0048828124998,-0.0007596517923973043
2014.1601562499998,-0.0007776994907040318
2023.3154296875,-0.0007957460722089488
2032.4707031249998,-0.0008137936718930894
2041.6259765624995,-0.0008318400874815636
2050.78125,-0.0008498875878282111
2059.9365234374995,-0.0008679338343567547
2069.091796875,-0.0008859812347158805
2078.2470703125,-0.0009040273089062517
2087.4023437499995,-0.0009220746087025379
2096.5576171875,-0.0009401205071296038
2105.7128906249995,-0.0009581677058736847
2114.8681640625,-0.0009762134249517309
2124.0234375,-0.0009942605222530946
2133.1787109374995,-0.001012306058220298
2142.333984375,-0.0010303530538021623
2151.4892578125,-0.00104839840270289
2160.6445312499995,-0.0010664452964194307
2169.7998046875,-0.0010844904540839423
2178.9550781249995,-0.0011025372459403436
2188.1103515625,-0.0011205822079613822
2197.265625,-0.0011386288981372796
2206.4208984374995,-0.00115667365984291
2215.576171875,-0.001174720248719951
2224.7314453125,-0.0011927648051418425
2233.8867187499995,-0.0012108112933362633
2243.0419921875,-0.0012288556391724132
2252.1972656249995,-0.0012469020275737593
2261.3525390625,-0.001264946157144388
2270.5078125,-0.001282992446961819
2279.6630859374995,-0.001301036354156818
2288.818359375,-0.001319082546974823
2297.9736328124995,-0.0013371262251906826
2307.1289062499995,-0.0013551723230365601
2316.2841796875,-0.0013732157651001025
2325.4394531249995,-0.001391261770526231
2334.5947265625,-0.001409304968601665
2343.75,-0.0014273508847864802
2352.9052734374995,-0.0014453938302611742
2362.060546875,-0.0014634396611338842
2371.2158203124995,-0.0014814823444766366
2380.37109375,-0.0014995280948719868
2389.5263671875,-0.0015175705054549426
2398.6816406249995,-0.0015356161813051897
2407.8369140625,-0.0015536583071753302
2416.9921875,-0.001571703915744542
2426.1474609374995,-0.0015897457433172828
2435.302734375,-0.0016077912934679165
2444.4580078124995,-0.0016258328070726017
2453.61328125,-0.0016438783094847827
2462.7685546875,-0.0016619194905356008
2471.9238281249995,-0.0016799649575071466
2481.0791015625,-0.0016980057824588436
2490.2343749999995,-0.0017160512256959345
2499.3896484374995,-0.001734091659422564
2508.544921875,-0.0017521370790876834
2517.7001953124995,-0.0017701770496408096
2526.85546875,-0.001788222385742357
2536.0107421875,-0.0018062616799292377
2545.1660156249995,-0.0018243065991530895
2554.3212890625,-0.001842344410478067
2563.4765624999995,-0.0018603873578361568
2572.6318359374995,-0.0018784202651108844
